BIL,NAMA KURSUS,TARIKH,ANJURAN,TEMPAT,JENIS TERAS,TERAS LATIHAN,DOMAINS,KAEDAH LATIHAN
1,"PROGRAM BICARA ILMU : ""PUASA SI PENGHUNI AR-RAYYAN""",1 APRIL 2021,PUSPANITA,"AUDITORIUM A, KOMTAR",GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,BERSEMUKA (OFFLINE)
2,PEMANTAPAN DAN MAJLIS PENYERAHAN WATIKAH PELANTIKAN PEGAWAI FOCAL POINT DASAR KETERANGKUMAN GENDER (DKG) NEGERI PULAU PINANG,1 APRIL 2021,PWDC,COURTYARD BY MARRIOT PENANG,GENERIK,PROTOKOL DAN ETIKET SOSIAL,SMART SOSIAL,BERSEMUKA (OFFLINE)
3,"PENANG LESTARI, APADIA TU?",1 APRIL 2021,PSUKPP,ZOOM,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
4,PEMANTAPAN ISO 9001:2015 SISTEM PENGURUSAN KUALITI (QMS) ,2 APRIL 2021,MBPP,"AUDITORIUM C, KOMTAR",GENERIK,PENGURUSAN DAN KUALITI,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
5,PELAN INDUK BATU KAWAN,3 APRIL 2021,PDC,OLIVE TREE HOTEL PENANG,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
6,BENGKEL SIASATAN DALAMAN,5-7 APRIL 2021,PSUKPP,"ICONIC HOTEL, BUKIT MERTAJAM",FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,BERSEMUKA (OFFLINE)
7,BENGKEL DRAF RANCANGAN TEMPATAN PULAU PINANG,5 APRIL 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),PUSAT LATIHAN MBPP LEBUH PANTAI,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,BERSEMUKA (OFFLINE)
8,KURSUS PENGECAMAN DAN PENGAWETAN LARVA NYAMUK AEDES,6-7 APRIL 2021,JABATAN KESIHATAN KERAJAAN NEGERI PULAU PINANG,"BILIK MESYUARAT , KLINIK KESIHATAN BUKIT MINYAK",FUNGSIONAL,KESIHATAN PERSEKITARAN,SMART ENVIRONMENT,BERSEMUKA (OFFLINE)
9,WEBINAR INTAN EXECUTIVE LECTURE SERIES : MEMERANGI PENDEMIK COVID-19 : PERSPEKTIF WIRA NEGARA,6 APRIL 2021,INTAN,FACEBOOK LIVE,FUNGSIONAL,KESIHATAN PERSEKITARAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
