BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
1,"PROGRAM BICARA ILMU : ""PUASA SI PENGHUNI AR-RAYYAN""",2021-04-01,2021-04-01,81dfb067-fe17-436f-994c-ee6e73d968c8,"AUDITORIUM A, KOMTAR",GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
2,PEMANTAPAN DAN MAJLIS PENYERAHAN WATIKAH PELANTIKAN PEGAWAI FOCAL POINT DASAR KETERANGKUMAN GENDER (DKG) NEGERI PULAU PINANG,2021-04-01,2021-04-01,fbacc70d-c786-4df7-b71c-d3b826fcaa2c,COURTYARD BY MARRIOT PENANG,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
3,"PENANG LESTARI, APADIA TU?",2021-04-01,2021-04-01,833fea23-b366-4189-b72c-29b2173f3405,ZOOM,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
4,PEMANTAPAN ISO 9001:2015 SISTEM PENGURUSAN KUALITI (QMS) ,2021-04-02,2021-04-02,7466eef1-51ea-4860-9813-b22cf45e2a4e,"AUDITORIUM C, KOMTAR",GN,ac803436-f75e-49cc-a7af-9dd49e6b8486,2f540625-6835-4afc-8938-903a85b34155,BS
5,PELAN INDUK BATU KAWAN,2021-04-03,2021-04-03,bfc98ed4-fb74-49e1-9bbb-ef6936cf697b,OLIVE TREE HOTEL PENANG,FN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,2f540625-6835-4afc-8938-903a85b34155,BS
6,BENGKEL SIASATAN DALAMAN,2021-04-05,2021-04-07,833fea23-b366-4189-b72c-29b2173f3405,"ICONIC HOTEL, BUKIT MERTAJAM",FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,BS
7,BENGKEL DRAF RANCANGAN TEMPATAN PULAU PINANG,2021-04-05,2021-04-05,7466eef1-51ea-4860-9813-b22cf45e2a4e,PUSAT LATIHAN MBPP LEBUH PANTAI,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
8,KURSUS PENGECAMAN DAN PENGAWETAN LARVA NYAMUK AEDES,2021-04-06,2021-04-07,4000f21d-8c9b-43f3-a835-b3bca28621a1,"BILIK MESYUARAT , KLINIK KESIHATAN BUKIT MINYAK",FN,f999f1a9-28c8-4906-9022-42f514e98a58,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,BS
9,WEBINAR INTAN EXECUTIVE LECTURE SERIES : MEMERANGI PENDEMIK COVID-19 : PERSPEKTIF WIRA NEGARA,2021-04-06,2021-04-06,2d904241-fba1-4fea-b511-9b325e566905,FACEBOOK LIVE,FN,f999f1a9-28c8-4906-9022-42f514e98a58,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
10,"FOCUS GROUP DISCUSSION : CADANGAN PEMBANGUNAN BERCAMPUR DI ATAS TEBUS GUNA TANAH SELATAN (PENANG SOUTH RECLAMATION) DAN BAYAN LEPAS LIGHT RAIL TRANSIT (LRT) PROJECT SEGMENT 5,  PULAU PINANG",2021-04-07,2021-04-07,921ed32e-6dd6-4ca1-b476-f35a8991dd34,OLIVE TREE HOTEL PENANG,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,ec9bb07b-2c02-43a3-9a2b-f0648130ff13,BS
