SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
HIDM16000160,2017-08-09T00:00:00,TEST7,SHENZHEN COTEL TECHNOLOGY CO.,2016-08-10T00:00:00
CIDF15000005,2017-08-09T00:00:00,PILOT TEST 1,SHENZHEN COTEL TECHNOLOGY CO.,2016-08-10T00:00:00
HIDF15000439,2021-12-22T00:00:00,TRANS NIAGA SDN BHD,SHENZHEN COTEL TECHNOLOGY CO.,2015-08-18T00:00:00
HIDF16000088,2017-05-08T00:00:00,SIBYL TECHNOLOGIES SDN.BHD,SHENZHEN COTEL TECHNOLOGY CO.,2016-05-09T00:00:00
HIDF19000005,2021-07-12T00:00:00,ITRAPS GLOBAL (M) SDN.BHD.,SHENZHEN COTEL TECHNOLOGY CO.,2019-01-08T00:00:00
HIDF19000119,2022-06-29T00:00:00,GROLIER (MALAYSIA) SDN. BHD.,SHENZHEN COTEL TECHNOLOGY CO.,2019-07-02T00:00:00
HIDF19000133,2021-11-24T00:00:00,ATTEST RESOURCES SDN BHD,LOOP TELECOM COM,2019-07-18T00:00:00
CIDF21000110,2022-06-20T00:00:00,ALLO TECHNOLOGY SDN BHD,LOOP TELECOM COM,2021-06-21T00:00:00
HIDF17000073,2021-06-30T00:00:00,TNB-IT SDN BHD,LOOP TELECOM COM,2017-04-20T00:00:00
HIDF15000448,2020-06-10T00:00:00,HYDRO-TRENT (M) SDN. BHD.,ELPRO TECHNOLOGY PTY LTD,2015-08-20T00:00:00
HIDF16000081,2021-11-04T00:00:00,IT BIZFLOW SDN. BHD.,VERIFONE SINGAPORE PTE. LTD.,2016-04-28T00:00:00
HIDF15000526,2021-01-28T00:00:00,GHL TRANSACT SDN. BHD.,VERIFONE SINGAPORE PTE. LTD.,2015-10-27T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,LOOP  TELECOM.COM,2015-06-16T00:00:00
CIDF20000019,2021-02-04T00:00:00,DENKOLINK (M) SDN BHD,PLANET TECHNOLOGY GROUP CORP,2020-02-05T00:00:00
HIDF15000183,2022-01-26T00:00:00,RES MALAYSIA SDN. BHD.,"ZEBRA TECHNOLOGIES INTERNATIONAL, LLC",2015-05-27T00:00:00
HIDF16000184,2022-07-26T00:00:00,RACOM ELECTRONICS SDN. BHD.,STANDARD COMMUNICATIONS PTY.LTD,2016-09-07T00:00:00
HIDF15000468,2017-09-21T00:00:00,QANTREX CORPORATION SDN BHD ,HUAWEI TECH. INVEST CO. LTD,2015-09-03T00:00:00
HIDF15000479,2016-09-13T00:00:00,SKUNKWORKS COMMUNICATIONS,TSUEN SHING ENT. LTD.,2015-09-14T00:00:00
HIDF20000111,2021-06-24T00:00:00,PENGEDAR FAR RIZ SDN BHD,AUTEC S.R.L,2020-06-25T00:00:00
HIDF15000058,2022-03-29T00:00:00,UMW EQUIPMENT SDN BHD,"KOMATSU  LTD,",2015-03-23T00:00:00
HIDF15000059,2022-03-29T00:00:00,UMW (EAST MALAYSIA) SDN BHD,"KOMATSU  LTD,",2015-03-23T00:00:00
CIDF15000353,2022-06-21T00:00:00,INGRAM MICRO MALAYSIA SDN. BHD.,INTERMEC TECHNOLOGY CORPORATION.,2015-07-06T00:00:00
CIDF15000353,2018-08-17T00:00:00,ECS PERICOMP SDN. BHD.,INTERMEC TECHNOLOGY CORPORATION.,2017-08-18T00:00:00
HIDF15000478,2018-11-01T00:00:00,LAB SEVEN (M) SDN.BHD.,"D-LINK,",2015-09-14T00:00:00
