No.,FILENO,TAC,PRODUCT CATEGORY,MODEL ID,MODEL DESCRIPTION,CONSIGNEE NAME,SUBMISSION DATE,APPROVE DATE,EXPIRY DATE,CATEGORY,Serial No,SLP ID
1,SQASI/TA/19/4241,RDAY/91E/1019/S(19-4241),WIRELESS ACCESS POINT(RADIO),C11735,"C9120AXI-K [Support: 802.11a/b/g/n/ac/ax & Bluetooth] [802.11b/g/n/ac/ax: 2400 MHz - 2483.5 MHz] [802.11a/n/ac/ax: 5150 MHz – 5350 MHz, 5470 MHz – 5650 MHz, 5725 MHz – 5850 MHz]",CISCO SYSTEMS (MALAYSIA) SDN. BHD.,10/8/2019  9:41:45 AM,28/08/2020,27/08/2025,RADIO,FGL2415L101,HIDF15000143
2,SQASI/TA/20/2836,REAO/61B/0820/S(20-2836),TABLET PC (HYBRID - ICT)(RADIO),S01740,"SM-T500 [Support 802.11 a/b/g/n/ac & Bluetooth] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz - 5650 MHz & 5725 MHz - 5875 MHz]",SAMSUNG MALAYSIA ELECTRONICS (SME) SDN. BHD,7/16/2020  10:24:58 AM,10/08/2020,09/08/2025,RADIO,R9WNA08MM0J,HIDF15000004
3,SQASI/TA/20/2932,ROAV/65A/0820/S(20-2932),REMOTELY OPERATED AERIAL VEHICLE (ROAV) (HYBRID - TOY)(RADIO),M13740,Mavic 2 Pro (Aircraft: L1P [Frequency: 2400MHz – 2483.5MHz & 5725MHz – 5875MHz] ) (Remote Controller: RC1A] [Frequency: 2400MHz – 2483.5MHz & 5725MHz – 5875MHz] ),VISIONCRAFT INDUSTRIES SDN BHD,7/22/2020  12:37:55 PM,04/08/2020,03/08/2023,RADIO,163CGBAR0A4U2V,HIDF18000056
4,SQASI/TA/20/2963,RFAB/90A/0820/S(20-2963),WIRELESS EARPHONE (HYBRID-WEARABLE)(RADIO),H5712,HBS-FN4 (Marketing name: LG TONE FREE HBS-FN4) [Support: Bluetooth],LG ELECTRONICS (M) SDN. BHD.,7/24/2020  9:07:29 AM,06/08/2020,05/08/2025,RADIO,008BAAYE054656,HIDF15000073
5,SQASI/TA/20/2997,REAO/58B/0720/S(20-2997),TABLET PC (HYBRID - ICT)(RADIO),S01784,"SM-T970 [Support 802.11 a/b/g/n/ac/ax & Bluetooth] [802.11 b/g/n & Bluetooth: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz,  5470 MHz - 5650 MHz, 5725 MHz - 5875 MHz] [Pen: EJ-PT870]",SAMSUNG MALAYSIA ELECTRONICS (SME) SDN. BHD,7/27/2020  1:08:33 PM,04/08/2020,03/08/2021,RADIO,R52NA08MP9T,HIDF15000004
6,SQASI/TA/20/3042,FAAL/29A/0820/S(20-3042),OPTICAL MULTISERVICE ACCESS NODE(TELEPHONY),O2556,OptiX OSN 1800 II Pro,HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD.,7/28/2020  6:51:25 PM,12/08/2020,11/08/2025,TELEPHONY,2102113286N0L5000175,CIDF15000116
7,SQASI/TA/20/3048,RAWZ/11A/0820/S(20-3048),WIRELESS PDA (ISM / BLUETOOTH)(RADIO),M13713,"MC220K [Support: 802.11a/b/g/n/ac, Bluetooth & NFC] [802.11b/g/n/ac: 2400 MHz - 2483.5 MHz] [802.11a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz - 5650 MHz & 5725 MHz - 5875 MHz] [NFC: 13.56 MHz]",ZEBRA TECHNOLOGIES MALAYSIA SDN. BHD,7/28/2020  11:37:30 AM,23/08/2020,22/08/2025,RADIO,20266523021664,CIDF17000119
8,SQASI/TA/20/3063,REAL/11C/0820/S(20-3063),DIGITAL CAMERA (HYBRID)(RADIO),D5566,DS126839 [WLAN & Bluetooth Module : ES204],CANON MARKETING (MALAYSIA) SDN. BHD.,7/29/2020  10:08:16 AM,19/08/2020,18/08/2025,RADIO,048021001774,HIDF15000017
9,SQASI/TA/20/3111,RDCX/15E/0820/S(20-3111),WATCH (HYBRID-WEARABLE)(RADIO),S01826,SM-R840 [Marketing Name: Galaxy Watch 3] [Support : 802.11b/g/n & Bluetooth][Wireless Charger: EP-OR825],SAMSUNG MALAYSIA ELECTRONICS (SME) SDN. BHD,8/3/2020  1:45:38 PM,06/08/2020,05/08/2021,RADIO,RFANA0WESFF,HIDF15000004
10,SQASI/TA/20/3117,REAL/10C/0820/S(20-3117),DIGITAL CAMERA (HYBRID)(RADIO),R4883,R03030 [Support 802.11 b/g/n & Bluetooth] [802.11 b/g/n & Bluetooth: 2400 MHz - 2483.5 MHz],DSC WORLD SDN BHD,8/3/2020  2:11:57 PM,12/08/2020,11/08/2025,RADIO,YP00102087Y,HIDF16000188
11,SQASI/TA/20/3121,RDCX/16E/0820/S(20-3121),WATCH (HYBRID-WEARABLE)(RADIO),S01827,SM-R850 [Marketing Name: Galaxy Watch 3] [Support : 802.11b/g/n & Bluetooth][Wireless Charger: EP-OR825],SAMSUNG MALAYSIA ELECTRONICS (SME) SDN. BHD,8/3/2020  4:03:32 PM,06/08/2020,05/08/2021,RADIO,RFANA0Q28KM,HIDF15000004
12,SQASI/TA/20/3138,ROAD/35A/0820/S(20-3138),WIRELESS CAMERA (HYBRID)(RADIO),M13778,MC250 [Support: 802.11a/b/g/n/ac & Bluetooth] [802.11 b/g/n & Bluetooth: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz & 5725 MHz - 5875 MHz],ASIA EXPRESS CERTIFICATION SERVICES,8/4/2020  2:50:10 PM,27/08/2020,26/08/2025,RADIO,M02HSQ7K,CIDF20000162
13,SQASI/TA/20/3140,RDCT/24A/0820/S(20-3140),BLUETOOTH WATCH (HYBRID-WEARABLE)(RADIO),K2059,KAN-B19 [Marketing Name:HONOR Watch GS Pro],HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD.,8/4/2020  10:52:49 AM,12/08/2020,11/08/2025,RADIO,5QNBB20929101283,CIDF15000116
