ProductRegNo,SLPID,TAC,RegType,IMEI,productCategory,modelId,modelDescription,consigneeName
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145356,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145372,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145380,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145398,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145406,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145414,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145422,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145430,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145448,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145455,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
