ProductRegNo,SLPID,TAC,RegType,SerialNo,productCategory,modelID,modelDescription,consigneeName
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,3RDJ573,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,FJM4473,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,DJ57473,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,5ZF4473,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,BGM4473,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,CYK7273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,J1T6273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,1G47273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,DH47273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,FY99273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
